2 2
0.271793 1.695028 -0.141690
0.291843 1.639101 -0.147321
0.260541 1.721370 -0.109246
0.261507 1.720078 -0.094877
0.270068 1.702884 -0.143612
0.270115 1.707336 -0.081478
0.270329 1.702694 -0.066948
0.281793 1.674920 -0.156745
0.272561 1.690427 -0.098179
0.268808 1.695101 -0.131548
0.267728 1.710055 -0.065352
0.254305 1.750122 -0.043871
0.266434 1.715206 -0.073097
0.263989 1.717423 -0.075444
0.270530 1.730033 -0.087106
0.269487 1.692612 -0.121999
0.278985 1.683356 -0.139883
0.267986 1.698060 -0.115852
0.261786 1.715527 -0.114545
0.277019 1.682259 -0.107480
0.272738 1.691043 -0.133348
0.256478 1.738357 -0.105648
0.249572 1.764916 -0.065231
0.247169 1.765466 -0.062349
0.268576 1.701314 -0.094143
0.268684 1.716379 -0.055904
0.278672 1.664816 -0.171443
0.252278 1.744135 -0.111109
0.271305 1.698505 -0.102129
0.261022 1.713150 -0.134207
0.280506 1.680727 -0.140999
0.271460 1.686534 -0.128514
0.275171 1.686809 -0.101390
0.282776 1.655609 -0.178843
0.251580 1.755716 -0.053689
0.245974 1.761757 -0.080649
0.250464 1.746736 -0.085695
0.258760 1.720734 -0.101510
0.266391 1.710280 -0.096242
0.247888 1.771973 -0.030077
0.278465 1.683808 -0.087109
0.251389 1.750838 -0.056957
0.258839 1.726757 -0.084408
0.260115 1.732529 -0.104173
0.268367 1.703948 -0.101218
0.273829 1.695432 -0.099108
0.239583 1.790951 -0.047672
0.252755 1.746629 -0.060566
0.260373 1.723756 -0.104619
0.271563 1.692473 -0.104917
0.263275 1.724059 -0.083201
0.233568 1.801495 -0.067843
0.248798 1.756048 -0.081319
0.262516 1.716114 -0.113200
0.258503 1.725574 -0.109993
0.259381 1.727916 -0.073655
0.261901 1.722472 -0.079664
0.283762 1.658401 -0.140258
0.273861 1.688380 -0.094678
0.256530 1.738630 -0.069854
0.263833 1.706326 -0.116453
0.253040 1.752816 -0.021500
0.267389 1.709558 -0.084142
0.257566 1.737744 -0.094035
0.253401 1.741525 -0.073148
0.264629 1.719908 -0.069705
0.286470 1.655767 -0.119268
0.279421 1.674279 -0.146111
0.258641 1.728216 -0.077957
0.264803 1.709662 -0.099295
0.249814 1.756720 -0.036143
0.242597 1.785048 -0.021902
0.254946 1.747223 -0.071925
0.247203 1.766185 -0.034170
0.239753 1.792679 -0.004124
0.257859 1.733499 -0.080152
0.257168 1.727862 -0.099607
0.266396 1.706845 -0.119131
0.255222 1.742506 -0.061462
0.245074 1.770801 -0.052346
0.258570 1.731695 -0.062055
0.253389 1.743119 -0.070861
0.261449 1.732496 -0.021374
0.252710 1.748711 -0.044664
0.252852 1.750520 -0.072761
0.261828 1.728117 -0.065036
0.239041 1.807589 0.019428
0.283534 1.675038 -0.100725
0.254311 1.746335 -0.046853
0.258895 1.730814 -0.075102
0.270455 1.703199 -0.080668
0.253979 1.749826 -0.043360
0.261466 1.718858 -0.093097
0.245146 1.759662 -0.087528
0.257881 1.737093 -0.058700
0.260150 1.719381 -0.115628
0.258731 1.724606 -0.089774
0.258084 1.736678 -0.099855
0.262194 1.725132 -0.069795
0.272422 1.692433 -0.135400
0.259038 1.722261 -0.103836
0.251593 1.746912 -0.073913
0.253850 1.740571 -0.070679
0.258119 1.723102 -0.102006
0.272539 1.687016 -0.128153
0.258066 1.735983 -0.042707
0.260210 1.728204 -0.075951
0.280770 1.676740 -0.086369
0.279720 1.690140 -0.090528
0.259035 1.740228 -0.047423
0.258005 1.739719 -0.059280
0.258869 1.733635 -0.058681
0.266497 1.713824 -0.083125
0.260307 1.751041 -0.043205
0.259220 1.735505 -0.061307
0.252713 1.744650 -0.055912
0.275819 1.681124 -0.110513
0.243383 1.773514 -0.057544
0.236603 1.795361 -0.015988
0.277014 1.695698 -0.059219
0.265067 1.730832 -0.086445
0.264845 1.712760 -0.095205
0.250552 1.753766 -0.071321
0.249612 1.750982 -0.090039
0.243976 1.769054 -0.052045
0.242663 1.774675 -0.087790
0.257392 1.722019 -0.123343
0.255153 1.755501 -0.022241
0.231826 1.818365 -0.014403
0.255729 1.743772 -0.066622
0.252378 1.758452 -0.032052
0.267985 1.710939 -0.080724
0.228242 1.824021 -0.042616
0.265528 1.707108 -0.102932
0.250368 1.772865 -0.031373
0.258441 1.738053 -0.079648
0.258868 1.737575 -0.042695
0.265438 1.716306 -0.044513
0.254521 1.740197 -0.058983
0.268525 1.698763 -0.116153
0.252686 1.752540 -0.043707
0.263495 1.724858 -0.040533
0.243604 1.785791 -0.012506
0.249881 1.758757 -0.039321
0.256563 1.739483 -0.060333
0.262663 1.727111 -0.029096
0.247136 1.764827 -0.054028
0.259501 1.724743 -0.082119
0.258065 1.738282 -0.040105
0.237319 1.794572 -0.060321
0.237641 1.796212 -0.024500
0.238274 1.788315 -0.038568
0.259443 1.736205 -0.041284
0.244890 1.774107 -0.027988
0.269279 1.710780 -0.078677
0.245135 1.773239 -0.039641
0.253259 1.748938 -0.050596
0.255229 1.734199 -0.105182
0.251817 1.748086 -0.061609
0.251669 1.756822 -0.042289
0.269257 1.712106 -0.050378
0.253565 1.743088 -0.076190
0.275931 1.697243 -0.075790
0.253247 1.743315 -0.066836
0.249315 1.762886 -0.021951
0.279048 1.674493 -0.134674
0.253503 1.743853 -0.083238
0.251158 1.754411 -0.046790
0.261232 1.731403 -0.079030
0.249573 1.763341 -0.068525
0.255260 1.737095 -0.097114
0.253343 1.750692 -0.065208
0.270620 1.706972 -0.059955
0.253711 1.743145 -0.061616
0.254742 1.741613 -0.060535
0.263531 1.733471 -0.027674
0.272669 1.707006 -0.045218
0.251582 1.749318 -0.066109
0.255140 1.740128 -0.045148
0.241562 1.789399 -0.029963
0.254090 1.741539 -0.061613
0.250538 1.753273 -0.062618
0.268510 1.704059 -0.080622
0.264614 1.711670 -0.078593
0.265002 1.728608 -0.025146
0.262164 1.719314 -0.077920
0.253208 1.746723 -0.062033
0.261384 1.726486 -0.071965
0.262267 1.717046 -0.087324
0.243058 1.778437 -0.034232
0.252678 1.765586 -0.040293
0.232897 1.798972 -0.058515
0.256431 1.736357 -0.076766
0.241318 1.778512 -0.059652
0.260244 1.728909 -0.080086
0.262612 1.733928 -0.053560
0.254646 1.739866 -0.067304
0.231605 1.818346 -0.006701
0.271717 1.697826 -0.061939
0.250264 1.759238 -0.039877
0.253951 1.747084 -0.061305
0.244115 1.766273 -0.063671
0.243738 1.772072 -0.062848
0.254536 1.751180 -0.016019
0.249554 1.759812 -0.032369
0.255203 1.744670 -0.042494
0.262869 1.734895 -0.037178
0.244677 1.771765 -0.042152
0.255476 1.753895 -0.030927
0.260176 1.730335 -0.069977
0.277376 1.695780 -0.045238
0.254829 1.744279 -0.050350
0.258893 1.739895 -0.056661
0.260672 1.731150 -0.042386
0.253561 1.747225 -0.044867
0.245461 1.766358 -0.068378
0.247591 1.769526 -0.027595
0.261185 1.726860 -0.057728
0.242890 1.776749 -0.057965
0.248471 1.770429 -0.017746
0.251395 1.757362 -0.025982
0.266044 1.711618 -0.066754
0.261703 1.729947 -0.045759
0.264770 1.720589 -0.050849
0.266581 1.718602 -0.057419
0.246080 1.765311 -0.036331
0.260445 1.731955 -0.056737
